rank,openalex_id,doi,title,year,venue,authors,cited_by_count,url,source_query,relevance_score,novelty_pressure,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract,concepts,keywords
586,https://openalex.org/W4307949303,https://doi.org/10.3390/agriculture12111802,A Soft Gripper Design for Apple Harvesting with Force Feedback and Fruit Slip Detection,2022,Agriculture,Kaiwen Chen; Tao Li; Tongjie Yan; Feng Xie; Qingchun Feng; Qingzhen Zhu; Chunjiang Zhao,87,https://www.mdpi.com/2077-0472/12/11/1802/pdf?version=1668073445,robot tactile perception object shape reconstruction,30.833,34.833,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; learning/control,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,contact-aided object pose/state estimation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"This research presents a soft gripper for apple harvesting to provide constant-pressure clamping and avoid fruit damage during slippage, to reduce the potential danger of damage to the apple pericarp during robotic harvesting. First, a three-finger gripper based on the Fin Ray structure is developed, and the influence of varied structure parameters during gripping is discussed accordingly. Second, we develop a mechanical model of the suggested servo-driven soft gripper based on the mappings of gripping force, pulling force, and servo torque. Third, a real-time control strategy for the servo is proposed, to monitor the relative position relationship between the gripper and the fruit by an ultrasonic sensor to avoid damage from the slip between the fruit and fingers. The experimental results show that the proposed soft gripper can non-destructively grasp and separate apples. In outdoor orchard experiments, the damage rate for the grasping experiments of the gripper with the force feedback system turned on was 0%; while the force feedback system was turned off, the damage rate was 20%, averaged for slight and severe damage. The three cases of rigid fingers and soft fingers with or without slip detection under the gripper structure of this study were tested by picking 25 apple samples for each set of experiments. The picking success rate for the rigid fingers was 100% but with a damage rate of 16%; the picking success rate for soft fingers with slip detection was 80%, with no fruit skin damage; in contrast, the picking success rate for soft fingers with slip detection off incre",Slippage; Clamping; Slip (aerodynamics); Servo; Grippers; GRASP; Computer science; Control theory (sociology); Artificial intelligence; Mechanical engineering; Structural engineering; Engineering,Slippage; Clamping; Slip (aerodynamics); Servo; Grippers; GRASP; Computer science; Control theory (sociology); Artificial intelligence; Mechanical engineering; Structural engineering; Engineering
587,https://openalex.org/W4405947143,https://doi.org/10.3390/heritage8010012,Deep Learning Approaches for 3D Model Generation from 2D Artworks to Aid Blind People with Tactile Exploration,2024,Heritage,Rocco Furferi,3,https://www.mdpi.com/2571-9408/8/1/12/pdf?version=1735543621,robot tactile perception object shape reconstruction,30.806,41.806,estimate object pose or state under partial/contact observations,pose/state estimation; shape reconstruction; active exploration,object geometry is sufficiently known or visually initialized before contact estimation starts | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"object identity, approximate shape family, initial visual crop, contact sensor calibration",can be overconfident when the visible pose is correct but the occluded contact boundary is wrong | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"An effective method to enable the enjoyment of works of art by the blind is to reproduce tactile copies of the work, to facilitate tactile exploration. This is even more important when it comes to paintings, which are inherently not accessible to the blind unless they are transformed into 3D models. Today, artificial intelligence techniques are rapidly growing and represent a paramount method for solving a variety of previously hard-to-solve tasks. It is, therefore, presumable that the translation from 2D images to 3D models using such methods will be also in continuous development. Unfortunately, reconstructing a 3D model from a single image, especially when it comes to painting-based images, is an ill-posed problem due to the depth ambiguity and the lack of a ground truth for the 3D model. To confront this issue, this paper proposes an overview of artificial intelligence-based methods for reconstructing 3D geometry from a single image is provided. The survey explores the potentiality of Convolutional Neural Networks, Generative Adversarial Networks, Variational Autoencoders, and zero-shot methods. Through a small set of case studies, the capabilities and limitations of CNNs in creating a 3D-scene model from artworks are also encompassed. The findings suggest that, while deep learning models demonstrate that they are effective for 3D retrieval from paintings, they also call for post-processing and user interaction to improve the accuracy of the 3D models.",Deep learning; Computer science; Visual arts; Artificial intelligence; Humancomputer interaction; Art,Deep learning; Computer science; Visual arts; Artificial intelligence; Humancomputer interaction; Art
588,https://openalex.org/W4391800778,https://doi.org/10.48550/arxiv.2402.07127,Learning by Watching: A Review of Video-based Learning Approaches for Robot Manipulation,2024,arXiv (Cornell University),Chrisantus Eze; Christopher Crick,3,https://arxiv.org/pdf/2402.07127,robot tactile perception object shape reconstruction,30.806,34.806,support robot perception/manipulation with tactile or contact information,sensor/dataset; shape reconstruction; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Robot learning of manipulation skills is hindered by the scarcity of diverse, unbiased datasets. While curated datasets can help, challenges remain in generalizability and real-world transfer. Meanwhile, large-scale ""in-the-wild"" video datasets have driven progress in computer vision through self-supervised techniques. Translating this to robotics, recent works have explored learning manipulation skills by passively watching abundant videos sourced online. Showing promising results, such video-based learning paradigms provide scalable supervision while reducing dataset bias. This survey reviews foundations such as video feature representation learning techniques, object affordance understanding, 3D hand/body modeling, and large-scale robot resources, as well as emerging techniques for acquiring robot manipulation skills from uncontrolled video demonstrations. We discuss how learning only from observing large-scale human videos can enhance generalization and sample efficiency for robotic manipulation. The survey summarizes video-based learning approaches, analyses their benefits over standard datasets, survey metrics, and benchmarks, and discusses open challenges and future directions in this nascent domain at the intersection of computer vision, natural language processing, and robot learning.",Computer science; Artificial intelligence; Humancomputer interaction; Robot; Psychology; Computer vision,Computer science; Artificial intelligence; Humancomputer interaction; Robot; Psychology; Computer vision
589,https://openalex.org/W3200610390,https://doi.org/10.1016/j.neunet.2021.09.011,World model learning and inference,2021,Neural Networks,Karl Friston; Rosalyn Moran; Yukie Nagai; Tadahiro Taniguchi; Hiroaki Gomi; Josh Tenenbaum,81,https://doi.org/10.1016/j.neunet.2021.09.011,robot tactile occlusion hidden geometry manipulation,30.741,30.741,estimate object pose or state under partial/contact observations,pose/state estimation; learning/control,object geometry is sufficiently known or visually initialized before contact estimation starts | a policy can absorb occlusion effects from data without an explicit hidden-geometry variable,"object identity, approximate shape family, initial visual crop, contact sensor calibration",can be overconfident when the visible pose is correct but the occluded contact boundary is wrong | can succeed in-distribution while failing under adversarial hidden geometry swaps,contact-aided object pose/state estimation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Understanding information processing in the brain-and creating general-purpose artificial intelligence-are long-standing aspirations of scientists and engineers worldwide. The distinctive features of human intelligence are high-level cognition and control in various interactions with the world including the self, which are not defined in advance and are vary over time. The challenge of building human-like intelligent machines, as well as progress in brain science and behavioural analyses, robotics, and their associated theoretical formalisations, speaks to the importance of the world-model learning and inference. In this article, after briefly surveying the history and challenges of internal model learning and probabilistic learning, we introduce the free energy principle, which provides a useful framework within which to consider neuronal computation and probabilistic world models. Next, we showcase examples of human behaviour and cognition explained under that principle. We then describe symbol emergence in the context of probabilistic modelling, as a topic at the frontiers of cognitive robotics. Lastly, we review recent progress in creating human-like intelligence by using novel probabilistic programming languages. The striking consensus that emerges from these studies is that probabilistic descriptions of learning and inference are powerful and effective ways to create human-like artificial intelligent machines and to understand intelligence in the context of how humans interact with their world.",Artificial intelligence; Computer science; Inference; Probabilistic logic; Human intelligence; Cognitive robotics; Context (archaeology); Cognitive science; Machine learning; Artificial general intelligence; Cognition; Psychology,Artificial intelligence; Computer science; Inference; Probabilistic logic; Human intelligence; Cognitive robotics; Context (archaeology); Cognitive science; Machine learning; Artificial general intelligence; Cognition; Psychology
590,https://openalex.org/W3032606495,https://doi.org/10.1145/3313831.3376136,AirTouch: 3D-printed Touch-Sensitive Objects Using Pneumatic Sensing,2020,Document Server@UHasselt (UHasselt),Carlos Eric Galvan Tejada; Raf Ramakers; Sebastian Boring; Daniel Ashbrook,32,https://researchprofiles.ku.dk/da/publications/6c5de35b-601b-48d4-ac95-96c1b384e777,robot tactile occlusion hidden geometry manipulation,30.556,36.556,support robot perception/manipulation with tactile or contact information,shape reconstruction; visuotactile fusion; active exploration,"unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out | vision and touch provide complementary features over one shared latent object, not competing censoring processes","sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",may hallucinate plausible backsides that fail during manipulation | can fuse features while leaving the vision-censored ambiguity structurally intact,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"3D printing technology can be used to rapidly prototype the look and feel of 3D objects. However, the objects produced are passive. There has been increasing interest in making these objects interactive, yet they often require assembling components or complex calibration. In this paper, we contribute AirTouch, a technique that enables designers to fabricate touch-sensitive objects with minimal assembly and calibration using pneumatic sensing. AirTouch-enabled objects are 3D printed as a single structure using a consumer-level 3D printer. AirTouch uses pre-trained machine learning models to identify interactions with fabricated objects, meaning that there is no calibration required once the object has completed printing. We evaluate our technique using fabricated objects with various geometries and touch sensitive locations, obtaining accuracies of at least 90% with 12 interactive locations.",Computer science; Calibration; 3D printing; 3d printed; Object (grammar); 3d printer; Computer graphics (images); Artificial intelligence; Computer vision; Computer hardware; Engineering; Mechanical engineering,Computer science; Calibration; 3D printing; 3d printed; Object (grammar); 3d printer; Computer graphics (images); Artificial intelligence; Computer vision; Computer hardware; Engineering; Mechanical engineering
591,https://openalex.org/W4391450105,https://doi.org/10.3390/machines12020103,An Integrated Architecture for Robotic Assembly and Inspection of a Composite Fuselage Panel with an Industry 5.0 Perspective,2024,Machines,Gaetano Lettera; Ciro Natale,6,https://www.mdpi.com/2075-1702/12/2/103/pdf?version=1706781789,robot tactile perception object shape reconstruction,30.535,30.535,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,generic fusion of visual and tactile streams for manipulation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Aeronautical robotic applications use quite large, heavy robots with huge end effectors that are frequently multifunctional. An assembly jig to hold a fuselage panel and two medium-sized six-axis robots fixed on linear axes, referred to as the internal and the external robot with respect to the curvature of the panel, make up the Lean robotized AssemBly and cOntrol of composite aeRostructures (LABOR) work cell. A distributed software architecture is proposed in which individual modules are developed to execute specific subprocesses, each implementing innovative algorithms that solve the main drawbacks of state-of-the-art solutions. Real-time referencing adopts a point-cloud-based strategy to reconstruct and process the part before drilling, avoiding hole positioning errors. Accurate concentric countersink diameters are made possible through the automatic adjustment of the drilling tool with respect to the skin panel, which guarantees its orthogonality, as well as the implementation of process parameter optimization algorithms based on historical results that compensate for the wear of the drilling bits. Automatic sealing and fastening strategies that involve the measurement of the main fastener quality parameters allow for the complete verification of the entire assembly process of each part. Additionally, an advanced multimodal perception system continuously monitors the collaborative workspace to ensure safe humanrobot collaboration (HRC) tasks. Through this integrated architecture, LABOR substantially reduces expenses and facilitates maintenance and programming.",Fuselage; Robot; Process (computing); Engineering; Workspace; Industrial robot; Actuator; Computer science; Mechanical engineering; Artificial intelligence; Operating system,Fuselage; Robot; Process (computing); Engineering; Workspace; Industrial robot; Actuator; Computer science; Mechanical engineering; Artificial intelligence
592,https://openalex.org/W4415601459,https://doi.org/10.1186/s10033-025-01349-w,Advances in Robotic Peg-in-Hole Assembly: A Comprehensive Review,2025,Chinese Journal of Mechanical Engineering,Suming Li; Hao Gong; Jianhua Liu; J. Li; Xinlu Deng,2,https://cjme.springeropen.com/counter/pdf/10.1186/s10033-025-01349-w,robot tactile perception object shape reconstruction,30.431,36.431,support robot perception/manipulation with tactile or contact information,active exploration; learning/control,the uncertainty objective rewards global information rather than specifically attacking visual occlusion equivalence classes | a policy can absorb occlusion effects from data without an explicit hidden-geometry variable,"touch action library, cost model, candidate hypothesis representation",may spend touches on easy high-variance regions instead of ambiguity-breaking contact surfaces | can succeed in-distribution while failing under adversarial hidden geometry swaps,choosing touches to reduce uncertainty,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Abstract As the demands for assembly quality and efficiency increase, robot-assisted assembly applications are becoming more widespread. Peg-in-hole assembly, as a typical form of assembly, has been widely researched by scholars. Currently, robotic peg-in-hole assembly faces challenges such as complex analysis of part contact forces, difficulties in task modeling, and the failure of traditional strategies. Simply controlling the position of the robot's end effector cannot achieve high precision, high efficiency peg-in-hole assembly. Flexible assembly, especially intelligent flexible assembly, is becoming the future development trend. So there is a lack of comprehensive reviews on robotic flexible peg-in-hole assembly. This paper first outlines the basic components of peg-in-hole assembly and summarizes the two basic operational processes of peg-in-hole assembly, along with their related theoretical foundations. We then review and analyze the research on passive compliant assembly, active compliant assembly, and intelligent flexible assembly. Finally, it presents an outlook on the future development directions of robotic peg-in-hole assembly.",Task (project management); Engineering; Robot end effector; Computer science; Systems engineering; Quality (philosophy); Position paper; Robot; Position (finance); Control engineering; Development (topology); Artificial intelligence,Task (project management); Robot end effector; Quality (philosophy); Position paper; Robot
593,https://openalex.org/W4415979027,https://doi.org/10.1186/s10033-025-01356-x,A Comprehensive Review of Key Technologies for Robot Motion Planning in Contact Tasks in Industrial Automation Scenarios,2025,Chinese Journal of Mechanical Engineering,Shibo Jin; Kaichen Ke; Boyang Gao; Fusheng Li; Xingrong Huang,2,https://cjme.springeropen.com/counter/pdf/10.1186/s10033-025-01356-x,robot tactile perception object shape reconstruction,30.431,36.431,support robot perception/manipulation with tactile or contact information,planning/physics,the planner's state already contains the geometry that determines downstream contact feasibility,"contact model, object rigidity, feasible action set, state abstraction",can produce plans whose contact preconditions are false under an occluded geometry alternative,tactile information improving robot perception or manipulation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Abstract With the swift advancement of industrial automation, robots have emerged as an essential component in emerging industries and high-end equipment, thereby propelling industrial production towards greater intelligence and efficiency. This paper reviews the pivotal technologies for motion planning of robots engaged in contact tasks within industrial automation contexts, encompassing environmental recognition, trajectory generation strategies, and sim-to-real transfer. Environmental recognition technology empowers robots to accurately discern objects and obstacles in their operational environment. Trajectory generation strategies formulate optimal motion paths based on environmental data and task specifications. Sim-to-real transfer is committed to effectively translating strategies from simulated environments to actual production, thereby diminishing the discrepancies between simulation and reality. The article also delves into the application of artificial intelligence in robot motion planning and how embodied intelligence models catalyze the evolution of robotics technology towards enhanced intelligence and automation. The paper concludes with a synthesis of the methodologies addressing this challenge and a perspective on the myriad challenges that warrant attention.",Robot; Automation; Key (lock); Robotics; Component (thermodynamics); Artificial intelligence; Trajectory; Motion planning; Engineering; Motion (physics); Computer science; Industrial robot,Robot; Automation; Key (lock); Robotics; Component (thermodynamics); Trajectory; Motion planning; Motion (physics)
594,https://openalex.org/W4409580820,https://doi.org/10.1109/tase.2025.3562231,GNN Topology Representation Learning for Deformable Multi-Linear Objects Dual-Arm Robotic Manipulation,2025,IEEE Transactions on Automation Science and Engineering,Alessio Caporali; Kevin Galassi; Riccardo Zanella; Gianluca Palli,2,https://doi.org/10.1109/tase.2025.3562231,robot tactile perception object shape reconstruction,30.431,34.431,estimate object pose or state under partial/contact observations,pose/state estimation; learning/control; planning/physics,object geometry is sufficiently known or visually initialized before contact estimation starts | a policy can absorb occlusion effects from data without an explicit hidden-geometry variable,"object identity, approximate shape family, initial visual crop, contact sensor calibration",can be overconfident when the visible pose is correct but the occluded contact boundary is wrong | can succeed in-distribution while failing under adversarial hidden geometry swaps,contact-aided object pose/state estimation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Deformable Multi-Linear Objects (DMLOs), or Branched Deformable Linear Objects (BDLOs), are flexible objects that possess a linear structure similar to DLOs but also feature branching or bifurcation points where the objects path diverges into multiple sections. The representation of complex DMLOs, such as wiring harnesses, poses significant challenges in various applications, including robotic systems perception and manipulation planning. This paper proposes an approach to address the robust and efficient estimation of a topological representation for DMLOs leveraging a graph-based description of the scene obtained via graph neural networks. Starting from a binary mask of the scene, graph nodes are sampled along the objects estimated centerlines. Then, a data-driven pipeline is employed to learn the assignment of graph edges between nodes and to characterize the nodes type based on their local topology and orientation. Finally, by utilizing the learned information, a solver combines the predictions and generates a coherent representation of the objects in the scene. The approach is experimentally evaluated using a test set of complex real-world DMLOs. Within an offline evaluation, the proposed approach achieves a Dice score exceeding 90% in predicting graph edges. Similarly, the identification accuracy of <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">branch</i> and <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">intersection</i> points in the graph topology is above 90%. Ad",Dual (grammatical number); Representation (politics); Robotic arm; Computer science; Topology (electrical circuits); Robot; Grippers; Artificial intelligence; Robot kinematics; Engineering; Mobile robot; Mathematics,Dual (grammatical number); Representation (politics); Robotic arm; Computer science; Topology (electrical circuits); Robot; Grippers; Artificial intelligence; Robot kinematics; Engineering; Mobile robot; Mathematics
595,https://openalex.org/W4409505928,https://doi.org/10.24136/eq.3557,"Digital twin-based virtual factory and cyber-physical production systems, collaborative autonomous robotic and networked manufacturing technologies, and enterprise and business intelligence algorithms for industrial metaverse",2025,Equilibrium Quarterly Journal of Economics and Economic Policy,Robert Stefko; Katarina Frajtova Michalikova; Jarmila Strakova; Andrej Novak,29,https://server546071.nazwa.pl/eq/article/download/3557/2438,robot tactile perception object shape reconstruction,30.431,30.431,estimate object pose or state under partial/contact observations,sensor/dataset; pose/state estimation; shape reconstruction,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Research background: Cognitive computing and robotic technologies, enterprise digital twin system modeling, and sensory perception algorithms optimize industrial big data exchange and production collaboration, production floor management, and smart device 3D simulation and visualization in the Industry 5.0 metaverse and virtual shop floor environments. Enterprise metaverse business operations, multi-granularity cognitive computing, and industrial big data fusion simulation integrate virtual and augmented reality technologies, collaborative robotic and industrial cyber-physical production systems, and artificial intelligence-enabled edge computing and Internet of Everything devices in mobile edge computing environments. Cloud-based production and digital twin Internet of Things networks, 3D immersive virtual reality and realistic 3D scene construction technologies, and cyber-physical production and business process management systems articulate smart production engineering and management, artificial intelligence-driven physics simulation, and Internet of Things-based robotic manufacturing in highly realistic industrial product representations and 3D virtual spaces with regard to big data-driven business decisions. Purpose of the article: We show that 3D immersive virtual reality and digital twin metaverse technologies, spatial scanning modeling, and autonomous robotic and virtual factory simulation systems are pivotal in immersive 3D process management, industrial manufacturing production value, and knowledge accumulation in synthetic simulated environments. 3D simulation-ba",Computer science; Metaverse; Factory (object-oriented programming); Algorithm; Production (economics); Cyber-physical system; Business intelligence; Virtual reality; Manufacturing engineering; Knowledge management; Humancomputer interaction; Engineering,Computer science; Metaverse; Factory (object-oriented programming); Algorithm; Production (economics); Cyber-physical system; Business intelligence; Virtual reality; Manufacturing engineering; Knowledge management; Humancomputer interaction; Engineering
596,https://openalex.org/W4403289418,https://doi.org/10.1541/ieejjia.24005652,Survey on Recent Advances in Planning and Control for Collaborative Robotics,2024,IEEJ Journal of Industry Applications,YaJun Pan; Scott W. Buchanan; Qiguang Chen; Lucas Wan; Nuo Chen; Shane Forbrigger; Sean Smith,5,https://www.jstage.jst.go.jp/article/ieejjia/14/2/14_24005652/_pdf,robot tactile perception object shape reconstruction,30.334,34.334,estimate object pose or state under partial/contact observations,pose/state estimation; learning/control; planning/physics,object geometry is sufficiently known or visually initialized before contact estimation starts | a policy can absorb occlusion effects from data without an explicit hidden-geometry variable,"object identity, approximate shape family, initial visual crop, contact sensor calibration",can be overconfident when the visible pose is correct but the occluded contact boundary is wrong | can succeed in-distribution while failing under adversarial hidden geometry swaps,contact-aided object pose/state estimation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Collaborative robots (COBOTs) can efficiently assist humans in interactions with robots and the environment when carrying out different tasks. They take advantage of the flexibility and cognitive decision-making skills of humans along with the speed, accuracy, strength, and reliability of robots. Interest in this research area has grown rapidly in recent years and there are applications in many areas, such as smart factories, health services, agriculture, service sector and surveillance. This paper reviews the state-of-the-art of planning and control strategies for collaborative robots. The survey includes various advanced approaches for motion planning, task planning, cooperative bimanual manipulation, cooperative mobile manipulation, learning from demonstration, exoskeletons and conjoined collaboration, and collaborative aerial robotics. A discussion of the challenges and future directions for the proposed research area are presented. This paper offers a comprehensive survey and insight for new researchers in the area.",Robotics; Artificial intelligence; Computer science; Control (management); Systems engineering; Control engineering; Engineering; Robot,Robotics; Artificial intelligence; Computer science; Control (management); Systems engineering; Control engineering; Engineering; Robot
597,https://openalex.org/W4384661852,https://doi.org/10.3390/robotics12040107,Grasping Profile Control of a Soft Pneumatic Robotic Gripper for Delicate Gripping,2023,Robotics,Gridsada Phanomchoeng; Patchara Pitchayawetwongsa; Nattaphat Boonchumanee; Saravut Lin; Ratchatin Chancharoen,10,https://www.mdpi.com/2218-6581/12/4/107/pdf?version=1689576998,robot tactile perception object shape reconstruction,30.124,39.124,"recover object geometry from touch, vision, or multimodal observations",shape reconstruction; learning/control; planning/physics,unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out | a policy can absorb occlusion effects from data without an explicit hidden-geometry variable,"sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",may hallucinate plausible backsides that fail during manipulation | can succeed in-distribution while failing under adversarial hidden geometry swaps,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Soft pneumatic grippers (SPGs) have garnered significant attention and recognition in various industries owing to their remarkable flexibility, safety, and adaptability. They excel in manipulating delicate, irregularly shaped, and soft objects, surpassing the limitations of conventional grippers. However, effective control techniques for managing the grasping profile of SPGs are still under development. Simple onoff pressure control using a regulator valve is inadequate for delicate gripping with pneumatic robot grippers. To address this, a synergy pressure control system was implemented. In addition, a proportionalintegralderivative control technique, complemented by an unknown input observer, was devised to control the volume of the soft pneumatic robotic gripper, ensuring its alignment with the desired volume level. The simulation and experimental results provide substantial evidence of the effectiveness of the developed control technique and the unknown input observer in managing the volume and pressure of the gripper. Consequently, this breakthrough empowers precise and delicate gripping actions, enabling the handling of delicate objects such as tofu.",Grippers; Flexibility (engineering); Adaptability; Pneumatic flow control; Robot; Control engineering; Control (management); Computer science; Engineering; Control system; SMT placement equipment; Soft robotics,Grippers; Flexibility (engineering); Adaptability; Pneumatic flow control; Robot; Control engineering; Control (management); Computer science; Engineering; Control system; SMT placement equipment; Soft robotics
598,https://openalex.org/W4392169153,https://doi.org/10.1038/s41467-024-46249-0,Shaping high-performance wearable robots for human motor and sensory reconstruction and enhancement,2024,Nature Communications,Haisheng Xia; Yuchong Zhang; Nona Rajabi; Farzaneh Taleb; Qunting Yang; Danica Kragic; Zhijun Li,100,https://www.nature.com/articles/s41467-024-46249-0.pdf,robot tactile perception object shape reconstruction,30.013,35.013,"recover object geometry from touch, vision, or multimodal observations",sensor/dataset; shape reconstruction; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | unobserved surfaces can be filled by priors without testing whether contact has ruled alternatives out,"sensor-object contact model, object rigidity, exploratory action distribution, prior over unseen surfaces",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | may hallucinate plausible backsides that fail during manipulation,using tactile contacts to reconstruct object shape,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Most wearable robots such as exoskeletons and prostheses can operate with dexterity, while wearers do not perceive them as part of their bodies. In this perspective, we contend that integrating environmental, physiological, and physical information through multi-modal fusion, incorporating human-in-the-loop control, utilizing neuromuscular interface, employing flexible electronics, and acquiring and processing human-robot information with biomechatronic chips, should all be leveraged towards building the next generation of wearable robots. These technologies could improve the embodiment of wearable robots. With optimizations in mechanical structure and clinical training, the next generation of wearable robots should better facilitate human motor and sensory reconstruction and enhancement.",Wearable computer; Robot; Computer science; Humancomputer interaction; Wearable technology; Exoskeleton; Interface (matter); Artificial intelligence; Simulation; Embedded system; Bubble; Parallel computing,Wearable computer; Robot; Computer science; Humancomputer interaction; Wearable technology; Exoskeleton; Interface (matter); Artificial intelligence; Simulation; Embedded system
599,https://openalex.org/W2951899715,https://doi.org/10.6092/tdunibg_104935,Vision in the Loop for Force and Position Control of the Robot Manipulators,2018,Aisberg (University of Bergamo),Ehsan Khademolama,0,http://hdl.handle.net/10446/104935,robot tactile occlusion hidden geometry manipulation,30.0,40.0,build or exploit tactile sensing for robot perception,sensor/dataset; pose/state estimation; visuotactile fusion,tactile observations are treated as labeled examples rather than interventions that change what can be inferred | object geometry is sufficiently known or visually initialized before contact estimation starts,"object identity, approximate shape family, initial visual crop, contact sensor calibration",does not isolate whether the tactile signal distinguishes visually identical but contact-different objects | can be overconfident when the visible pose is correct but the occluded contact boundary is wrong,generic fusion of visual and tactile streams for manipulation,a mechanism that represents vision-censored geometry as an equivalence class and uses contact to split only manipulation-relevant alternatives,"Over the last decades, both force sensors and cameras have developed as useful sensors for different applications in robotics. This thesis considers a number of dynamic visual tracking and control problems, as well as the integration of these techniques with contact force control. Different topics ranging from basic theory to system implementation and applications are treated. It addresses the use of monocular eye-in-hand machine vision to control the position of a robot manipulator for dynamically challenging tasks. Such tasks are defined as those where the robot motion required approaches or exceeds the performance limits stated by the manufacturer. Computer vision systems have been used for robot control for over four decades now, but have rarely been used for high-performance visual closed-loop control. This has largely been due to technological limitations in image processing, but since the mid 2010s advances have made it feasible to apply computer vision techniques at a sufficiently high rate to guide a robot or close a feedback control loop. Visual servoing is the use of computer vision for closed-loop control of a robot manipulator, and has the potential to solve a number of problems that currently limit the potential of robots in industry and advanced applications. In this thesis we have developed an algorithm that can extract high accurate position of object from vision data. This can be used as proximity sensor, in harsh environments. In order to achieve high-performance it is necessary to have accurate models of the system to be controlled (the robot) and the se",Visual servoing; Robot; Artificial intelligence; Robotics; Computer vision; Computer science; Machine vision; Control engineering; Robot control; Control system; Position (finance); Visual control,Visual servoing; Robot; Artificial intelligence; Robotics; Computer vision; Computer science; Machine vision; Control engineering; Robot control; Control system; Position (finance); Visual control
